Publish Date,Source,Title,Summary,Link
"August 06, 2025",Cooling Post,Company agrees $16m penalty for failing to report faulty AC units,USA: A company which sold dangerous portable air conditioners has agreed a civil penalty and restitution totalling over $16.4m.,https://www.coolingpost.com/world-news/company-agrees-16m-penalty-for-failing-to-report-faulty-ac-units/
"August 05, 2025",Cooling Post,Daikin Applied to acquire US data centre cooling firm,"USA: Daikin Applied has entered into a definitive agreement to acquire DDC Solutions, a San Diego-based developer of ultra-high-density cooling cabinets and management software for data centres.",https://www.coolingpost.com/world-news/daikin-applied-to-acquire-us-data-centre-cooling-firm/
"August 01, 2025",Cooling Post,Bosch completes JCI Hitachi JV purchase,GERMANY: Bosch has announced the successful completion of the €7.4m purchase of the Johnson Controls residential and light commercial HVAC business and the…,https://www.coolingpost.com/world-news/bosch-completes-jci-hitachi-jv-purchase/
"August 06, 2025",Cooling Post,Company agrees $16m penalty for failing to report faulty AC units,USA: A company which sold dangerous portable air conditioners has agreed a civil penalty and restitution totalling over $16.4m.,https://www.coolingpost.com/world-news/company-agrees-16m-penalty-for-failing-to-report-faulty-ac-units/
"August 06, 2025",Cooling Post,Barcelona metro trials fabric duct cooling system,SPAIN: A new cooling system using fabric diffusers manufactured by Danish company FabricAir is being trialled on the Barcelona metro.,https://www.coolingpost.com/world-news/barcelona-metro-trials-fabric-duct-cooling-system/
"August 06, 2025",Cooling Post,Infected cooling towers found in New York LD outbreak,USA: Legionella pneumophila has been found in cooling towers in the Central Harlem district of New York following investigations into a legionnaires’ disease outbreak that has killed two people.,https://www.coolingpost.com/world-news/infected-cooling-towers-found-in-new-york-ld-outbreak/
"August 05, 2025",Cooling Post,J&E Hall restructures sales team,UK: Changes to the regional sales structure at J&E Hall’s commercial refrigeration business sees senior manager Tony Twine ceding his UK-wide responsibilities to national sales manager Paul McDermott.,https://www.coolingpost.com/uk-news/je-hall-restructures-sales-team/
"August 03, 2025",Cooling Post,Government to consult on late payments,"UK: The building services sector has welcomed the government’s announcement of a consultation on late, long and disputed business to business payments.",https://www.coolingpost.com/uk-news/government-to-consult-on-late-payments/
"July 29, 2025",Cooling Post,Chancellor Reeves visits Kensa heat pumps,"UK: The chancellor of the exchequer, Rachel Reeves, visited Truro-based ground-source heat pump manufacturer Kensa, today, on a trip to hear from Cornish businesses driving green growth.",https://www.coolingpost.com/uk-news/chancellor-reeves-visits-kensa-heat-pumps/
"August 04, 2025",Cooling Post,HC heat pumps to 170°C flow temperatures,UK: Danish manufacturer Solid Energy has upgraded its range of hydrocarbon-based ultra-high temperature heat pumps with a new line-up capable of reaching flow temperatures of…,https://www.coolingpost.com/products/hc-heat-pumps-to-170c-flow-temperatures/
"July 30, 2025",Cooling Post,Atlas Copco upgrades industrial chillers,UK: Atlas Copco has launched an upgrade of its TCX series of industrial chillers to provide an expanded capacity range using R32 refrigerant.,https://www.coolingpost.com/products/atlas-copco-upgrades-industrial-chillers/
"July 29, 2025",Cooling Post,Sanhua solenoid valve expands R744 range,SPAIN: The CDF-U solenoid valve expands Sanhua’s R744 product range to meet the growing demand for efficient and sustainable CO₂ refrigeration solutions.,https://www.coolingpost.com/products/sanhua-solenoid-valve-expands-r744-range/
"August 05, 2025",Cooling Post,Waste data centre heat supplies Geneva DH system,"SWITZERLAND: Two Trane heat pumps, with a total capacity of 3.2MW, are upgrading waste heat from a data centre to supply hot water a district heating network in Geneva.",https://www.coolingpost.com/features/waste-data-centre-heat-supplies-geneva-dh-system/
"August 03, 2025",Cooling Post,Kensa heat pumps for Paisley flats,UK: Renfrewshire Council is to replace the gas supply in two of its high-rise blocks of flats with ground-source heat pumps – the largest installation of its kind in Scotland.,https://www.coolingpost.com/features/kensa-heat-pumps-for-paisley-flats/
"July 31, 2025",Cooling Post,Toshiba AC suits flagship clothing store,"UK: Carrier Solutions UK has partnered with River Island and contractor Bry-Kol Developments to deliver a tailored HVAC solution for the retailer’s expanded store at The Chimes Shopping Centre, Uxbridge.",https://www.coolingpost.com/features/toshiba-ac-suits-flagship-clothing-store/
"June 25, 2025",Cooling Post,"A call to innovate, not compromise","To mark World Refrigeration Day, Hakan Bulgurlu, CEO of Beko, Europe’s leading home appliance brand, writes of HVACR’s pivotal role in the global energy and climate transition.",https://www.coolingpost.com/blog-posts/a-call-to-innovate-not-compromise/
"June 11, 2025",Cooling Post,Heat networks should go beyond just heating,"In light of the current UK rollout of heat network zones, Neil Parry, Alfa Laval’s global head of district energy, has highlighted the necessity for district cooling, and how this can create a national district energy infrastructure.",https://www.coolingpost.com/blog-posts/heat-networks-should-go-beyond-just-heating/
"May 27, 2025",Cooling Post,UK should take a tiered approach to F-gas policy,"Steve Shipp, MD of Ultra Refrigeration, questions the UK government’s stance on the F-gas regulation, the uncertainty of its lack of action and suggests a tiered approach to GWP limits.",https://www.coolingpost.com/blog-posts/uk-should-take-a-tiered-approach-to-f-gas-policy/
"July 30, 2025",Cooling Post,Carrier launches training for transport fridge engineers,UK: Carrier Transicold has introduced a dedicated training programme that offers formal accreditation for engineers working on its fully electric product line.,https://www.coolingpost.com/training/carrier-launches-training-for-transport-fridge-engineers/
"July 21, 2025",Cooling Post,Bitzer sends compressors to Beijer Ref academy,"UK: Green Point, Bitzer UK's compressor remanufacturing and specialist service arm, has provided two Bitzer reciprocating compressors to Beijer Ref’s UK training academy in Wetherby.",https://www.coolingpost.com/training/bitzer-sends-compressors-to-beijer-ref-academy/
"July 10, 2025",Cooling Post,Climalife chills with the experts,"UK: Luke Haile, silver medal winner in refrigeration and air conditioning at WorldSkills 2024, is interviewed in the first of a new series of podcasts by Climalife UK.",https://www.coolingpost.com/training/climalife-chills-with-the-experts/
