PublishDate,Source,Type,Title,Summary,Link
2025-09-23,HV UK,Industry News,"Levy cuts not enough for clean heating transition, says SEA","High prices resulting from policy costs – or levies – mean electricity is around four times higher than gas. Industry groups, along with the Climate Change Committee, have urged price reforms to enable the switch to low-carbon heating.",https://www.hvnplus.co.uk/news/levy-cuts-not-enough-for-clean-heating-transition-says-sea-23-09-2025/
2025-09-18,HV UK,Industry News,Vent-Axia unveils social housing ventilation system,"The filterless unitary fan can now help landlords “tackle early indicators of problems, such as damp, mould and condensation while improving compliance, protecting housing stock, and enhancing tenant wellbeing,” said Smith.",https://www.hvnplus.co.uk/news/vent-axia-unveils-social-housing-ventilation-system-18-09-2025/
2025-09-17,HV UK,Industry News,MCS umbrella scheme launched for heat pump installers,"While some Government communications have suggested the annual target of 600,000 heat pump installations by 2028 is still being pursued, the number of MCS-certified installations in 2024 was less than 60,000.",https://www.hvnplus.co.uk/news/mcs-umbrella-scheme-launched-for-heat-pump-installers-17-09-2025/
2025-09-16,HV UK,Industry News,Vaillant partners with museum to inspire young engineers,"“Career opportunities within the heating sector are broad and it is fantastic to be involved in projects like this that not only spark that initial interest in finding out more but also demonstrate the scope of options available to them,” he said.",https://www.hvnplus.co.uk/news/vaillant-partners-with-museum-to-inspire-young-engineers-16-09-2025/
2025-09-15,HV UK,Industry News,"Care homes need support to decarbonise heating, new research finds","Of 404 senior and middle management care home leaders, 97% said their homes had taken or were taking steps to decarbonise facilities, with more than 40% saying technical advice and easier access to funding would help deliver low-carbon systems.",https://www.hvnplus.co.uk/news/care-homes-need-support-to-decarbonise-heating-new-research-finds-15-09-2025/
2025-09-09,HV UK,Industry News,European Commission consults on Heating and Cooling Strategy,"“For the EU to achieve its objectives of energy security, affordability, competitiveness and decarbonisation, it is urgent to address energy system inefficiencies and other shortcomings, eliminating wasted energy and increasing smart integration,” said the commission.",https://www.hvnplus.co.uk/news/european-commission-consults-on-heating-and-cooling-strategy-09-09-2025/
2025-09-08,HV UK,Industry News,Johnson Controls announces Zürich heat network project,"“As one of the largest untapped sources of energy, excess heat represents huge potential for businesses to reduce operating costs and become more resilient while meeting decarbonisation targets,” he said.",https://www.hvnplus.co.uk/news/johnson-controls-announces-zurich-heat-network-project-08-09-2025/
2025-09-04,HV UK,Industry News,Tenants waiting average of seven weeks for hot water repairs,"After requesting the information from every local authority in the UK for repairs and complaints throughout 2024, responses from 80 councils showed the average time for any bathroom repair was 37 days.",https://www.hvnplus.co.uk/news/tenants-waiting-average-of-seven-weeks-for-hot-water-repairs-04-09-2025/
2025-09-01,HV UK,Industry News,"Ofgem’s smart meter plans ‘a step in the right direction’, says BEAMA","“BEAMA has called on government and Ofgem to tackle the issues of non-working systems and to boost the level of consumer confidence needed to drive flexibility and choice,” she said. “Today’s announcement is a positive step in the right direction.”",https://www.hvnplus.co.uk/news/ofgems-smart-meter-plans-a-step-in-the-right-direction-says-beama-01-09-2025/
2025-08-29,HV UK,Industry News,Clean Growth Fund secures £49m for net zero investment,"Unable to parse summary, please visit the news page instead.",https://www.hvnplus.co.uk/news/clean-growth-fund-secures-49m-for-net-zero-investment-29-08-2025/
2025-08-27,HV UK,Industry News,BESA launches ductwork competency consultation,"Consultation for building service engineering, titled ‘Managing competence for Industrial and Commercial Ductwork Installation’, will design pathways to competence for those working in the sector, said BESA.",https://www.hvnplus.co.uk/news/besa-launches-ductwork-competency-consultation-27-08-2025/
2025-08-25,HV UK,Industry News,UK Power Networks launches ‘HeatScape’,"UK Power Networks, which delivers electricity to 8.5 million homes and businesses across London, says HeatScape will combine new data with its strategic forecasting system to enable more informed decisions to be made.",https://www.hvnplus.co.uk/news/uk-power-networks-launches-heatscape-25-08-2025/
2025-08-22,HV UK,Industry News,"Barriers to thermal storage holding back heat networks, finds DESNZ","It noted “significant untapped potential” in the UK’s heat networks, particularly in long-duration and seasonal storage solutions, saying these had been successfully adopted in Scandinavia and the Netherlands.",https://www.hvnplus.co.uk/news/barriers-to-thermal-storage-holding-back-heat-networks-finds-desnz-22-08-2025/
