PublishDate,Source,Type,Title,Summary,Link
2025-09-17,RefIndustry,Industry News,New Zealand HVAC&R sector gains stronger voice in vocational training,The HVAC&R industry in New Zealand is set to gain greater influence over vocational training and qualifications through its inclusion in the new Industry Skills Board for Electrotechnology and Inf,https://refindustry.com/news/market-news/new-zealand-hvac-r-sector-gains-stronger-voice-in-vocational-training
2025-09-16,RefIndustry,Industry News,International Day for the Preservation of the Ozone Layer: 40 Years from Science to Global Action,"On 16 September, the International Day for the Preservation of the Ozone Layer is observed, established by the UN General Assembly in 1994 to commemorate the signing of the Montreal Protocol on Substa",https://refindustry.com/news/market-news/international-day-for-the-preservation-of-the-ozone-layer-40-years-from-science-to-global-action
2025-09-16,RefIndustry,Industry News,"Mojave's ArctiDry HVAC Units Reach 100,000 Hours with 99.7% Uptime in U.S.","Mojave Energy Systems announced that its ArctiDry HVAC units have surpassed 100,000 cumulative operating hours in commercial installations across the United States, achieving a reported 99.7% uptim",https://refindustry.com/news/market-news/mojave-s-arctidry-hvac-units-reach-100-000-hours-with-99-7-uptime-in-u-s
2025-09-16,RefIndustry,Industry News,Danfoss highlights CO2 compressor technologies for electric buses,"Danfoss has announced a range of thermal management solutions for electric buses, including transcritical CO2 compressors, ahead of Busworld Europe 2025. The company is targeting the growing demand fo",https://refindustry.com/news/new-items/danfoss-highlights-co2-compressor-technologies-for-electric-buses
2025-09-16,RefIndustry,Industry News,IOR opens elections for President-Elect and Trustees,"The UK-based Institute of Refrigeration (IOR) has opened its 2025 elections, inviting eligible members to vote for a new President-Elect and two new Trustees.
 
 Four candidates are standing for the",https://refindustry.com/news/market-news/ior-opens-elections-for-president-elect-and-trustees
2025-09-16,RefIndustry,Industry News,Global HVAC System Market to Reach USD 407.77 Billion by 2030,"The global HVAC system market is projected to grow from USD 299.28 billion in 2025 to USD 407.77 billion by 2030, at a compound annual growth rate (CAGR) of 6.4%, according to a new report by Mark",https://refindustry.com/news/market-research/global-hvac-system-market-to-reach-usd-407-77-billion-by-2030
2025-09-16,RefIndustry,Industry News,Danfoss sells Dutch heat exchanger unit to local experts in Benelux strategy shift,"Danfoss Plate Heat Exchangers has announced the sale of its Dutch subsidiary, SONDEX B.V., to industry professionals Theo Thoen and Hans Ter Velde. The company, based in Purmerend, will now operate un",https://refindustry.com/news/market-news/danfoss-sells-dutch-heat-exchanger-unit-to-local-experts-in-benelux-strategy-shift
2025-09-16,CoolingPost-World,Industry News,Guterres urges full implementation of Kigali,USA: United Nations secretary general António Guterres has urged governments to fully ratify and implement the Kigali Amendment to phase down HFCs.,https://www.coolingpost.com/world-news/guterres-urges-full-implementation-of-kigali/
2025-09-16,CoolingPost-World,Industry News,Man sentenced for smuggling R22,"USA: A man who confessed to smuggling five cylinders of illegal R22 refrigerant into the USA has been sentenced to three-years' probation, including 15 days’ time served.",https://www.coolingpost.com/world-news/man-sentenced-for-smuggling-r22/
2025-09-16,CoolingPost-Products,Industry News,Danfoss adds hygienic heat exchangers,DENMARK: Danfoss has launched a range of hygienic gasketed plate heat exchangers for a variety of applications in the food and beverage industry.,https://www.coolingpost.com/products/danfoss-adds-hygienic-heat-exchangers/
2025-09-17,JARN News,Industry News,ehpa: Counting down to the Heat Pump Forum 2025,"From debunking disinformation to transforming district heating, from business-building networking to an evening of live jazz – the Heat Pump Forum 2025 promises two days of ideas, debate, and inspiration.",https://www.ejarn.com/article/detail/90427
