PublishDate,Source,Title,Summary,Link
2025-08-14,RefIndustry,"Apollo Funds to acquire majority stake in Kelvion, Triton retains minority share","Apollo-managed funds have agreed to acquire a majority stake in German heat exchange and cooling solutions provider Kelvion from Triton, which will retain a minority interest. The deal is expected to",https://refindustry.com/news/market-news/apollo-funds-to-acquire-majority-stake-in-kelvion-triton-retains-minority-share
2025-08-14,RefIndustry,Reversible air-to-air heat pumps lead Europe’s market in 2024,"Reversible air-to-air heat pumps emerged as the top-selling technology in Europe in 2024, with approximately 875,000 units sold. These systems, which provide both heating and cooling, gained traction",https://refindustry.com/news/market-news/reversible-air-to-air-heat-pumps-lead-europe-s-market-in-2024
2025-08-14,RefIndustry,IOR recognised student research at Adaptation 2025,Institute of Refrigeration President Lisa Jane Cook FInstR presented certificates and prizes in recognition of three outstanding research papers presented by students at the IOR-organised First II,https://refindustry.com/news/cold-chain/ior-recognised-student-research-at-adaptation-2025
2025-08-13,RefIndustry,Trane Technologies launches BrainBox AI Lab for sustainable HVAC and building operations,"Trane Technologies, a global climate innovator, has announced the launch of the BrainBox AI Lab, aimed at advancing energy optimization for HVAC systems in buildings and refrigerated transport. Th",https://refindustry.com/news/market-news/trane-technologies-launches-brainbox-ai-lab-for-sustainable-hvac-and-building-operations
2025-08-13,RefIndustry,BITZER welcomes eight new apprentices in Schkeuditz,"In August 2025, BITZER, a specialist in refrigeration, air conditioning and heat pump technology, welcomed eight new apprentices at its Schkeuditz site, offering them long-term career development oppo",https://refindustry.com/news/market-news/bitzer-welcomes-eight-new-apprentices-in-schkeuditz
2025-08-13,RefIndustry,Dansk Cater Expands Electric Fleet with Thermo King Refrigeration,"Dansk Cater A/S in Denmark has introduced new fully electric Scania Regional trucks equipped with Frigoblock EK refrigeration units from Thermo King, adapted for battery-electric vehicle (BEV) ope",https://refindustry.com/news/cold-chain/dansk-cater-expands-electric-fleet-with-thermo-king-refrigeration
2025-08-13,RefIndustry,Systemair Reports Higher Profit and Sustainability Gains in 2024/25,"Systemair has posted increased profitability for the 2024/25 financial year, alongside progress in its sustainability initiatives. The company reported net sales of SEK 12.3 billion (USD 1.17 billion)",https://refindustry.com/news/market-news/systemair-reports-higher-profit-and-sustainability-gains-in-2024-25
2025-08-13,RefIndustry,UL Solutions joins Heat Pump KEYMARK scheme as 31st recognised testing lab,"UL Solutions has been officially recognised as a testing laboratory under the Heat Pump KEYMARK certification scheme, becoming the 31st facility to receive this designation. The company’s lab in Car",https://refindustry.com/news/market-news/ul-solutions-joins-heat-pump-keymark-scheme-as-31st-recognised-testing-lab
2025-08-13,Cooling Post,Triton sells Kelvion to Apollo funds,GERMANY: US asset management firm Apollo is to acquire a majority stake in German heat exchanger products manufacturer Kelvion.,https://www.coolingpost.com/world-news/triton-sells-kelvion-to-apollo-funds/
2025-08-11,Cooling Post,Aira announces further €150m investment,SWEDEN: Swedish heat pump company Aira has announced a further €150m of equity financing expand its European to operations and launch new innovations.,https://www.coolingpost.com/world-news/aira-announces-further-e150m-investment/
2025-08-13,Cooling Post,Triton sells Kelvion to Apollo funds,GERMANY: US asset management firm Apollo is to acquire a majority stake in German heat exchanger products manufacturer Kelvion.,https://www.coolingpost.com/world-news/triton-sells-kelvion-to-apollo-funds/
2025-08-13,Cooling Post,Trane Technologies launches BrainBox AI Lab,"IRELAND: Trane Technologies has announced the launch of the BrainBox AI Lab to serve as a hub for research into furthering intelligent, efficient and sustainable building operations.",https://www.coolingpost.com/world-news/trane-technologies-launches-brainbox-ai-lab/
2025-08-12,Cooling Post,Stallion plans R32 plant in Rajasthan,"INDIA: Stallion India Fluorochemicals, a Mumbai-based supplier of refrigerants, is to build a $13.7m R32 plant in the Bhilwara district of Rajasthan.",https://www.coolingpost.com/world-news/stallion-plans-r32-plant-in-rajasthan/
2025-08-13,Cooling Post,Williams’ employees celebrate 190 years,UK: Long-service awards have been made to eight employees who have given 190 years of service at Williams Refrigeration.,https://www.coolingpost.com/uk-news/williams-employees-celebrate-190-years/
2025-08-13,Cooling Post,Prizes for outstanding Adaptation papers,"UK: Institute of Refrigeration president, Lisa-Jayne Cook, has presented certificates and prizes for three research papers presented by students at this week’s Adaptation 2025 conference in Manchester.",https://www.coolingpost.com/uk-news/prizes-for-outstanding-adaptation-papers/
2025-08-11,Cooling Post,Lib Dems call to heatproof the NHS,"UK: With an increasing number of heat related deaths amongst older people, the Liberal Democrat party has called on the UK government to ensure all care homes are air conditioned.",https://www.coolingpost.com/uk-news/lib-dems-call-to-heatproof-the-nhs/
2025-08-09,Cooling Post,Carrier VRF on R454B,"USA: Carrier has released Opti-V, a next-generation VRF heat pump system running on R454B for the US market.",https://www.coolingpost.com/products/carrier-vrf-on-r454b/
2025-08-04,Cooling Post,HC heat pumps to 170°C flow temperatures,UK: Danish manufacturer Solid Energy has upgraded its range of hydrocarbon-based ultra-high temperature heat pumps with a new line-up capable of reaching flow temperatures of…,https://www.coolingpost.com/products/hc-heat-pumps-to-170c-flow-temperatures/
2025-07-30,Cooling Post,Atlas Copco upgrades industrial chillers,UK: Atlas Copco has launched an upgrade of its TCX series of industrial chillers to provide an expanded capacity range using R32 refrigerant.,https://www.coolingpost.com/products/atlas-copco-upgrades-industrial-chillers/
2025-08-05,Cooling Post,Waste data centre heat supplies Geneva DH system,"SWITZERLAND: Two Trane heat pumps, with a total capacity of 3.2MW, are upgrading waste heat from a data centre to supply hot water a district heating network in Geneva.",https://www.coolingpost.com/features/waste-data-centre-heat-supplies-geneva-dh-system/
