PublishDate,Source,Type,Title,Summary,Link
2025-09-24,Contracting Business - Residential,Industry News,Why Disruptive Branding Helps HVAC Contractors Win More Customers,"In this episode of HVAC Chats, host Nicole Krawcke speaks with Emily Fleniken, partner and creative director at Lemon Seed Marketing, about building memorable and impactful brands for contractors. They discuss strategies for creating brand recognition through visual elements, community engagement, and customer-focused messaging. Fleniken shares a three-bucket marketing approach, emphasizing branding, discoverability, and cultivating existing clients to drive sustainable growth. The conversation highlights practical ways contractors can humanize their businesses and build long-term customer trust.",https://www.contractingbusiness.com/residential-hvac/podcast/55318727/why-disruptive-branding-helps-hvac-contractors-win-more-customers
2025-09-26,Contracting Business - IndustryNews,Industry News,"One in Four Homeowners Has $500 or Less for Home Repairs, Survey Shows","NORWALK, Connecticut — HomeServe has released its 2025 State of the Home Survey, revealing widespread financial and infrastructure challenges among U.S. homeowners. The survey of 2,524 adults, including 2,333 homeowners, highlights a lack of preparedness for emergency repairs, rising utility costs, and gaps in knowledge about critical home systems.",https://www.contractingbusiness.com/industry-news/press-release/55319417/one-in-four-homeowners-has-500-or-less-for-home-repairs-survey-shows
2025-09-26,Contracting Business - IndustryNews,Industry News,Carrier Launches Field Trials of Battery-Enabled HVAC to Support U.S. Grid,"PALM BEACH GARDENS, Florida — Carrier Global Corp. has launched its first field trials of battery-enabled heating, ventilation, and air conditioning systems. The pilot aims to determine how the technology can support the electric grid by storing and shifting energy during peak demand.",https://www.contractingbusiness.com/industry-news/news/55319398/carrier-launches-field-trials-of-battery-enabled-hvac-to-support-us-grid
2025-09-26,Contracting Business - IndustryNews,Industry News,"16th Annual Sonnhalter Tool Drive Raises  $36,000 Worth of Donations for Habitat for Humanity","CLEVELAND — Sonnhalter, a communications firm marketing to the professional tradesman in the construction, industrial, and MRO markets, partnered with Greater Cleveland Habitat for Humanity for Sonnhalter’s 16th Annual Tool Drive. The initiative ran the entire month of August and collected $36,000 worth of donations of tools and building materials. Since Sonnhalter began its efforts in 2010, it has raised $603,000 in donations.",https://www.contractingbusiness.com/industry-news/press-release/55319380/16th-annual-sonnhalter-tool-drive-raises-36000-worth-of-donations-for-habitat-for-humanity
2025-09-26,Contracting Business - IndustryNews,Industry News,BDR University Fall Courses Equip HVAC Contractors for Growth,"SEATTLE — Business Development Resources (BDR) has announced its fall schedule of BDR University courses for contractors in the heating, ventilation, air conditioning, plumbing, and electrical industries. The training program is designed to help contractors strengthen financial knowledge, improve sales, and deliver better customer service.",https://www.contractingbusiness.com/industry-news/news/55319375/bdr-university-fall-courses-equip-hvac-contractors-for-growth
2025-09-26,Contracting Business - IndustryNews,Industry News,Global Research Boosts LG HVAC Innovation for Efficiency and Sustainability,"SEOUL — LG Electronics is advancing research and development in HVAC through partnerships with leading universities worldwide. The company is focusing on technologies that improve efficiency, sustainability, and indoor air quality.",https://www.contractingbusiness.com/industry-news/news/55319280/global-research-boosts-lg-hvac-innovation-for-efficiency-and-sustainability
2025-09-23,Contracting Business - IndustryNews,Industry News,ServiceTitan Acquires Conduit Tech,"GLENDALE, California — ServiceTitan has entered into an agreement to acquire Conduit Tech, an HVAC design and sales platform that leverages next-generation software, LiDAR technology, and permit-ready load calculations.",https://www.contractingbusiness.com/industry-news/press-release/55318275/servicetitan-acquires-conduit-tech
2025-09-26,Contracting Business - Product News,Industry News,Greenheck Make Up Air Units Extend Capacity with Packaged Cooling,"When configured with PDX, these units now offer airflow up to 9,000 cfm and have added cooling capacities at 7, 10, and 16 tons, expanding their range for make-up air applications. Both units use environmentally friendly, EPA-compliant R-454B refrigerant for PDX cooling, with chilled water and evaporative cooling as alternatives. The redesigned Model DGX with PDX provides direct gas-fired heat up to 1,200,000 Btu/h and incorporates microchannel coils, which are smaller, use less refrigerant, and transfer heat more efficiently. Model MSX is available with electric heat, steam coils, or hot water coils.",https://www.contractingbusiness.com/product-news/product/55319445/greenheck-make-up-air-units-extend-capacity-with-packaged-cooling
2025-09-26,Contracting Business - Product News,Industry News,CPS Products Announces 5-2-1 Compressor Saver Hard Start Kit,"Air conditioners can use 5 to 10 times more power during start-up than it does while running.  This burst of electrical current often comes with a surge of heat, which has the potential to eventually damage the compressor, terminals, windings, and run capacitor – all vital and expensive components in air conditioning systems.",https://www.contractingbusiness.com/product-news/product/55319452/cps-products-announces-5-2-1-compressor-saver-hard-start-kit
2025-09-26,Contracting Business - Product News,Industry News,Taco Releases HS Series Horizontal Split Case Pumps,"Taco now offers the HS Series Horizontal Split Case Pumps. Designed to maximize power savings while minimizing operating costs, these pumps are ideal for commercial and industrial applications requiring reliable, high-performance solutions.",https://www.contractingbusiness.com/product-news/product/55319441/taco-releases-hs-series-horizontal-split-case-pumps
