PublishDate,Source,Type,Title,Summary,Link
2025-09-18,Mitsubishi Electric-Global,Company News,Mitsubishi Electric and Inria Commence Joint Technology Development to Ensure AI Trustworthiness Using Formal Methods,"Unable to parse summary. link leads to a PDF file, please click visit instead.",https://www.mitsubishielectric.com/en/pr/2025/pdf/0918.pdf
2025-09-17,Mitsubishi Electric-Global,Company News,Mitsubishi Electric Mobility to Exhibit at Japan Mobility Show 2025(Go to Mitsubishi Electric Mobility Corp. website.),"Unable to parse summary. link leads to a PDF file, please click visit instead.",https://www.mitsubishielectric-mobility.com/en/news/2025/pdf/0917.pdf
2025-09-11,Mitsubishi Electric-Global,Company News,Mitsubishi Electric to Ship Compact DIPIPM Series of Semiconductor Modules Samples,"TOKYO, September 11, 2025-Mitsubishi Electric Corporation(TOKYO: 6503)  announced today that it has developed a new compact version of its DIPIPM power semiconductor modules specifically for use in consumer and industrial equipment such as packaged air conditioners and heat pump heating and hot water systems. The new Compact DIPIPM series of products comprises the PSS30SF1F6 (rated current 30A / rated voltage 600V) and the PSS50SF1F6 (rated current 50A / rated voltage 600V), and samples will begin shipping on September 22.",https://www.mitsubishielectric.com/en/pr/2025/0911/
2025-09-10,Mitsubishi Electric-Global,Company News,Mitsubishi Electric to Exhibit at CEATEC 2025,"TOKYO, September 10, 2025– Mitsubishi Electric Corporation (TOKYO: 6503) announced today that it will exhibit advanced technologies and solutions under the theme of “Be Yourself at Work – Innovation through Serendie –” during CEATEC 2025 at Makuhari Messe in Chiba, Japan, from October 14 to 17. CEATEC is a comprehensive exhibition of digital innovation, bringing together people, technologies and intelligence from diverse industries and business sectors to help create a vision of Society 5.0, a world that will combine economic development with solutions to major problems facing human civilization.",https://www.mitsubishielectric.com/en/pr/2025/0910-a/
2025-09-09,Mitsubishi Electric-Global,Company News,Industry partners form GCAP Electronics Evolution consortium to deliver sensing and communications for next generation fighter,"Unable to parse summary. link leads to a PDF file, please click visit instead.",https://www.mitsubishielectric.com/en/pr/2025/pdf/0909-b.pdf
2025-09-09,Mitsubishi Electric-Global,Company News,Mitsubishi Electric Signs Agreement to Wholly Acquire Nozomi Networks,"These cookies are necessary for the website to function and cannot be switched off in our systems. They are usually only set in response to actions made by you which amount to a request for services, such as setting your privacy preferences, logging in or filling in forms. You can set your browser to block or alert you about these cookies, but some parts of the site will not then work. These cookies do not store any personally identifiable information.",https://www.mitsubishielectric.com/en/pr/2025/0909/
2025-09-08,Mitsubishi Electric-Global,Company News,Mitsubishi Electric Announces Next-Stage Support Program for Employees,"Unable to parse summary. link leads to a PDF file, please click visit instead.",https://www.mitsubishielectric.com/en/pr/2025/pdf/0908.pdf
2025-09-03,Mitsubishi Electric-Global,Company News,Mitsubishi Electric Announces Status of Company Stock Repurchase,"Unable to parse summary. link leads to a PDF file, please click visit instead.",https://www.mitsubishielectric.com/en/pr/2025/pdf/0903.pdf
2025-08-26,Mitsubishi Electric-Global,Company News,Mitsubishi Electric’s DX Innovation Center Achieves ISO 9001 Certification,"TOKYO, August 26, 2025- Mitsubishi Electric Corporation (TOKYO: 6503) announced today that its DX Innovation Center (DIC) has received ISO 9001 certification in respect of the agile development of its quality management system. ISO 9001 is a globally recognized standard for quality management systems, intended to enhance customer satisfaction by encouraging the provision of high-quality products and services. The certification acknowledges that the DIC’s quality management system successfully balances speed and quality and is compliant with international standards. This marks the first time that Mitsubishi Electric has received this international certification for its agile development processes.",https://www.mitsubishielectric.com/en/pr/2025/0826/
2025-08-25,Mitsubishi Electric-Global,Company News,Mitsubishi Electric Signs Collaboration Agreement with ITRI and TTL Jhunan Brewery in Taiwan for Demonstration Tests of the Capture and Utilization of CO2,"TOKYO, August 25, 2025- Mitsubishi Electric Corporation (TOKYO: 6503) announced today that it has signed a collaboration agreement with the Industrial Technology Research Institute (ITRI) and the Taiwan Tobacco & Liquor Corporation (TTL) Jhunan Brewery covering their planned demonstration tests of the process of capturing and utilizing CO2. Under this agreement, Mitsubishi Electric, ITRI and TTL will capture CO2emitted from TTL Jhunan Brewery and purifyit for use in a beer production line, aiming to thereby achieve carbon recycling.",https://www.mitsubishielectric.com/en/pr/2025/0825/
