PublishDate,Source,Type,Title,Summary,Link
2025-09-18,Panasonic-Global,Company News,Panasonic Industry Commercializes Conductive Polymer Tantalum Solid Capacitors (POSCAP) with The Industry's Lowest Profile to Support High-Output Power Delivery Required for USB Type-C Connections,"Tokyo, Japan– Panasonic Industry Co., Ltd., a Panasonic Group company, announced today that it will begin commercial production of its two models of Conductive Polymer Tantalum Solid Capacitors (POSCAP), 50TQT33M and 63TQT22M. These capacitors are incorporated into power circuits used for information and communication equipment, including laptops and tablets. They offer an ultra-high withstand voltage and high capacitance in a body with the industry’s lowest profile of 3 mm, supporting high-output power delivery through USB Type-C connectors. Mass production for these models is planned to start in December 2025.",https://news.panasonic.com/global/press/en250918-2
2025-09-12,Panasonic-Global,Company News,Panasonic Industry will Double the Production Capacity of MEGTRON Multi-layer Circuit Board Materials Over the Next Five Years,"Unable to parse summary, please visit the news page instead.",https://news.panasonic.com/global/press/en250912-3
2025-09-12,Panasonic-Global,Company News,Panasonic HD to host annual worldwide educational event: KWN Global Summit 2025,"Osaka, Japan,September 12, 2025 – Panasonic Holdings Corporation Co., Ltd. (Panasonic HD), will host the international event KWN Global Summit 2025 online on Saturday, October 25, 2025, as part of its educational support program, Kid Witness News (KWN).",https://news.panasonic.com/global/topics/17811
2025-09-08,Panasonic-Global,Company News,"KAIROS enables one of world’s largest remote productions at Expo 2025 Osaka, Kansai, Japan","Osaka, Japan,September 3, 2025 – Panasonic Entertainment & Communication announced today its advanced new remote camera controller (AW-RP200GJ) offering enhanced usability for large-scale, multi-camera productions. Scheduled for release in Q1 CY2026,1the controller builds on the highly regarded operability of its predecessor (AW-RP150GJ), while introducing new features including Panasonic’s first-ever macro functionality, dual joysticks and features for enhanced multi-camera shooting. The AW-RP200GJ is engineered to meet the growing demand for more versatile and sophisticated shooting techniques, such as robotic arm integration and advanced multi-camera setups, to elevate video content value. The controller initially will be exhibited at International Broadcasting Convention (IBC) 2025 in Amsterdam from September 12–15.",https://news.panasonic.com/global/topics/17799
2025-09-05,Panasonic-Global,Company News,Panasonic’s Cutting-Edge Facial Authentication Technology Supports Expo 2025 Operations,"Expo 2025 opened in Osaka, Japan this spring and has received worldwide attention. The vast 155-hectare venue is located on the artificial island of Yumeshima, which is surrounded by Osaka Bay. A two-kilometer-long Grand Ring circles around the space, symbolically connecting the sea and sky. Over the approximately six months that the Expo is open, about 28 million people are expected to visit. Under the theme of “Designing Future Society for Our Lives,” Expo 2025 is a place where the world’s knowledge such as cutting-edge technology is being brought together, used to create new ideas, and shared, all to help resolve global issues facing humankind.",https://news.panasonic.com/global/stories/17789
2025-09-04,Panasonic-Global,Company News,Panasonic Group “The Land of NOMO” Pavilion to accomplish over 99% recycling rate at the Expo 2025 Osaka,"OSAKA, Japan,September 4, 2025 — Panasonic Holdings Corporation (“Panasonic HD”) announced that “The Land of NOMO,” the Panasonic Group Pavilion at the Expo 2025 Osaka, Kansai, Japan (“Expo 2025”), will achieve a recycling and reuse rate of more than 99%*1and a waste disposal rate of less than 1% for all building materials used in the pavilion’s construction. After the expo concludes, Panasonic HD will comprehensively reuse and recycle materials such as iron, copper, the facade frames*2and exterior paving blocks, significantly minimizing waste and demonstrating its commitment to environmentally responsible practices.",https://news.panasonic.com/global/press/en250904-2
2025-09-03,Panasonic-Global,Company News,Panasonic’s New Remote Camera Controller Expected to Revolutionize Operator Workflow,"Unable to parse summary, please visit the news page instead.",https://news.panasonic.com/global/press/en250903-2
2025-09-03,Panasonic-Global,Company News,The Board of Directors’ Role in Overseeing the Group Management Reform: Outside Director Chairperson of the Board Michitaka Sawada and Outside Director Ryusuke Shigetomi,"Unable to parse summary, please visit the news page instead.",https://news.panasonic.com/global/stories/17779
2025-09-02,Panasonic-Global,Company News,Panasonic is Creating the Future of Video Production with More Flexibility. More Precision. And More True to You.,"Panasonic Entertainment & Communication Co., Ltd. (Head Office: Moriguchi City, Osaka; CEO: Akira Toyoshima; hereinafter “Panasonic”) plans to release the AK-UBX100, a box-style 4K multi-purpose camera compatible with the same 2/3"" bayonet lens mount platform as the AK-UCX100 4K studio camera launched last year, in the fourth quarter of CY2025. Furthermore, the world's first*1auto-focus (AF) function is set to be introduced on the AK-UCX100 ahead of its implementation on the AK-UBX100. The corresponding firmware update (hereinafter “FWUP”) is planned for December 2025*2.",https://news.panasonic.com/global/press/en250902-2
2025-08-29,Panasonic-Global,Company News,Panasonic Automotive Systems publishes its first Sustainability Data Book,"Yokohama, Japan,August 29, 2025 – Panasonic Automotive Systems Co., Ltd. (Headquarters: Yokohama, Kanagawa, Japan; President: Masashi Nagayasu) announced today the publication of its Sustainability Data Book, which is now available on the company’s official website. This is the first time the company has published a Sustainability Data Book, which aims to build stronger relationships of trust with all stakeholders, including customers (car manufacturers), suppliers, and employees.",https://news.panasonic.com/global/press/en250829-8
2025-08-29,Panasonic-Global,Company News,"Panasonic officially started operations at the new building in its Czech factory, a production site for Air-to-water heat pumps","Osaka, Japan,August 29, 2025 – Panasonic Corporation today announced that Panasonic Heating & Ventilation Air-Conditioning Czech, s.r.o. (PHVACCZ), a subsidiary of Heating & Ventilation A/C Company, started operations at the new building in its Czech factory, a production site for air-to-water heat pumps.",https://news.panasonic.com/global/press/en250829-4
2025-08-29,Panasonic-Global,Company News,Panasonic Holdings Corporation Announces Dividend Forecast,"The content in this website is accurate at the time of publication but may be subject to change without notice.Please note therefore that these documents may not always contain the most up-to-date information.Please note that German, Spanish and Chinese versions are machine translations, so the quality and accuracy may vary.",https://news.panasonic.com/global/press/en250829-2
