PublishDate,Source,Type,Title,Summary,Link
2025-09-18,Parker Sporlan,Company News,Parker Completes Curtis Instruments Acquisition,"CLEVELAND, September 18, 2025—Parker-Hannifin Corporation (NYSE:PH), the global leader in motion and control technologies, today announced that it has completed its previously announced transaction to acquire Curtis Instruments, Inc. from Rehlko, for approximately $1 billion in cash.",https://www.parker.com/us/en/about-parker/newsroom/news-release-details/parker-completes-curtis-instruments-acquisition.html
2025-09-05,Parker Sporlan,Company News,Parker Scheduled to Present at the Morgan Stanley Annual Laguna Conference on September 10 at 10:00 a.m. Pacific Time (1:00 p.m. Eastern Time),"CLEVELAND, September 4, 2025—Parker Hannifin Corporation (NYSE: PH), the global leader in motion and control technologies, today announced that it is scheduled to present at the Morgan Stanley Annual Laguna Conference on September 10, 2025 at 10:00 a.m. Pacific time (1:00 p.m. Eastern time). A live webcast of the presentation will be accessible on Parker's investor information website at investors.parker.com and will be archived on the site.",https://www.parker.com/us/en/about-parker/newsroom/news-release-details/parker-scheduled-to-present-at-morgan-stanley-annual.html
2025-09-02,Parker Sporlan,Company News,Parker Elects Beth A. Wozniak to its Board of Directors,"CLEVELAND, September 2, 2025—Parker Hannifin Corporation (NYSE: PH), the global leader in motion and control technologies, today announced the election of Beth A. Wozniak to its Board of Directors, effective September 1, 2025.",https://www.parker.com/us/en/about-parker/newsroom/news-release-details/parker-elects-beth-a--wozniak-to-its-board-of-directors.html
2025-08-22,Parker Sporlan,Company News,Parker Declares Quarterly Cash Dividend and Updates Share Repurchase Authorization,"CLEVELAND, August 21, 2025—Parker Hannifin Corporation (NYSE: PH), the global leader in motion and control technologies, today announced that its Board of Directors has declared a regular quarterly cash dividend of $1.80 per share of common stock to shareholders of record as of September 2, 2025. The dividend is payable September 12, 2025.",https://www.parker.com/us/en/about-parker/newsroom/news-release-details/parker-declares-quarterly-cash-dividend-and-updates-share-repurc.html
2025-08-15,Parker Sporlan,Company News,NASA Astronaut Randy “Komrade” Bresnik Presents Silver Snoopy Award to Parker’s Margie Pack,"LEXINGTON, KY, August 14, 2025—The O-Ring & Engineered Seals (OES) Division of Parker Hannifin Corporation, the global leader in motion and control technologies, today announced that NASA astronaut Randy “Komrade” Bresnik honored Margie Pack with the prestigious Silver Snoopy award at Parker OES headquarters in Lexington, Kentucky. Ms. Pack, who has dedicated 25 years to manufacturing specialized Parker parts for NASA, exemplifies the commitment and excellence celebrated by this honor.",https://www.parker.com/us/en/about-parker/newsroom/news-release-details/bresnik-presents-silver-snoopy-award.html
2025-08-07,Parker Sporlan,Company News,Parker Reports Fiscal 2025 Fourth Quarter and Full Year Results,"CLEVELAND, August 7, 2025—Parker Hannifin Corporation (NYSE: PH), the global leader in motion and control technologies, today reported results for the quarter and fiscal year ended June 30, 2025, that included the following highlights (compared with the prior year period):",https://www.parker.com/us/en/about-parker/newsroom/news-release-details/parker-reports-fiscal-2025-fourth-quarter.html
2025-08-01,Parker Sporlan,Company News,Parker to Announce Fiscal 2025 Fourth Quarter and Full Year Earnings on August 7; Conference Call and Webcast Scheduled for 11 a.m. Eastern,"CLEVELAND, July 31, 2025—Parker Hannifin Corporation (NYSE: PH), the global leader in motion and control technologies, today announced that it will release its fiscal 2025 fourth quarter and full year earnings before the market opens on Thursday, August 7, 2025, followed by a conference call at 11:00 a.m., Eastern time. During the call, the company will discuss fiscal 2025 fourth quarter and full year results and respond to questions from institutional investors and securities analysts. The conference call will be webcast simultaneously on Parker's investor website at investors.parker.com with an accompanying slide presentation. The webcast will be archived on the site and available for replay later that day.",https://www.parker.com/us/en/about-parker/newsroom/news-release-details/parker-to-announce-fiscal-2025-fourth-quarter.html
2025-06-30,Parker Sporlan,Company News,"Parker to Acquire Curtis Instruments, Expanding Electrification Offering","CLEVELAND, June 30, 2025—Parker Hannifin Corporation (NYSE:PH), the global leader in motion and control technologies, today announced that it has agreed to acquire Curtis Instruments, Inc. from Rehlko, for approximately $1 billion in cash. The transaction is subject to customary closing conditions, including receipt of applicable regulatory approvals, and is expected to close by the end of calendar year 2025.",https://www.parker.com/us/en/about-parker/newsroom/news-release-details/parker-to-acquire-curtis-instruments.html
2025-06-16,Parker Sporlan,Company News,Parker Lord Signs Contract with Turkish Aerospace Industries for Main and Tail Rotor Dampers on T625 Helicopter Program,"PARIS, June 16, 2025—The Parker Lord Noise, Vibration and Harshness (NVH) Division of Parker Hannifin Corporation, the global leader in motion and control technologies, announced at the 2025 Paris Air Show the signing of a significant contract with Turkish Aerospace Industries (TAI) to supply main and tail rotor dampers for the advanced T625 Gökbey multirole helicopter.",https://www.parker.com/us/en/about-parker/newsroom/news-release-details/parker-lord-signs-contract-with-turkish-aerospace-industries.html
2025-05-09,Parker Sporlan,Company News,"Parker Announces Retirement of Filtration Group President Rob Malone, Elects Matt Jacobson as Successor","CLEVELAND, May 8, 2025—Parker Hannifin Corporation (NYSE: PH), the global leader in motion and control technologies, today announced that Robert W. Malone, Vice President and President – Filtration Group, will retire on August 31, 2025, after 12 years of dedicated service to the company.",https://www.parker.com/us/en/about-parker/newsroom/news-release-details/parker-announces-retirement-of-filtration-group-president.html
2025-05-01,Parker Sporlan,Company News,Parker Reports Fiscal 2025 Third Quarter Results,"CLEVELAND, May 01, 2025—Parker Hannifin Corporation (NYSE: PH), the global leader in motion and control technologies, today reported results for the quarter ended March 31, 2025, that included the following highlights (compared with the prior year quarter):",https://www.parker.com/us/en/about-parker/newsroom/news-release-details/parker-reports-fiscal-2025-third-quarter-results.html
2025-04-25,Parker Sporlan,Company News,Parker Increases Quarterly Cash Dividend 10% to $1.80 per Share,"CLEVELAND, April 24, 2025—Parker Hannifin Corporation (NYSE: PH), the global leader in motion and control technologies, today announced that its Board of Directors has declared a quarterly cash dividend of $1.80 per share of common stock to shareholders of record as of May 9, 2025. The dividend is payable June 6, 2025. The dividend represents a 10% increase over the previous quarterly cash dividend of $1.63 per common share and will be the 300th consecutive quarterly dividend paid by the company.",https://www.parker.com/us/en/about-parker/newsroom/news-release-details/parker-increases-quarterly-cash-dividend2.html
2025-04-23,Parker Sporlan,Company News,Parker to Announce Fiscal 2025 Third Quarter Earnings on May 1; Conference Call and Webcast Scheduled for 11 a.m. Eastern,"CLEVELAND, April 22, 2025—Parker Hannifin Corporation (NYSE: PH), the global leader in motion and control technologies, today announced that it will release its fiscal 2025 third quarter earnings before the market opens on Thursday, May 1, 2025, followed by a conference call at 11:00 a.m., Eastern time. During the call, the company will discuss fiscal 2025 third quarter results and respond to questions from institutional investors and securities analysts. The conference call will be webcast simultaneously on Parker's investor website at investors.parker.com with an accompanying slide presentation.",https://www.parker.com/us/en/about-parker/newsroom/news-release-details/parker-to-announce-fiscal-2025-third-quarter-earnings.html
2025-03-11,Parker Sporlan,Company News,Parker Scheduled to Present at the Bank of America Global Industrials Conference on March 19 at 10:35 a.m. Greenwich Mean Time (6:35 a.m. Eastern Time),"CLEVELAND, March 10, 2025—Parker Hannifin Corporation (NYSE: PH), the global leader in motion and control technologies, today announced that it is scheduled to present at the Bank of America Global Industrials Conference in London, England on March 19, 2025 at 10:35 a.m. Greenwich Mean Time (6:35 a.m. Eastern Time). A live webcast of the presentation will be accessible on Parker's investor information website at investors.parker.com and will be archived on the site.",https://www.parker.com/us/en/about-parker/newsroom/news-release-details/parker-scheduled-to-present-at-the-boa-global-industrials-confer.html
2025-02-25,Parker Sporlan,Company News,Parker’s Fiscal Year 2024 Sustainability Report Highlights Progress to a Better Tomorrow,"CLEVELAND, February 25, 2025—Parker Hannifin Corporation (NYSE: PH), the global leader in motion and control technologies, has released its fiscal year 2024 Sustainability Report. The latest edition highlights how Parker is leading the way to a better tomorrow as its team members enable engineering breakthroughs that advance clean technologies, create efficiencies that reduce emissions and other environmental impacts, take action to keep one another safe and help strengthen their local communities.",https://www.parker.com/us/en/about-parker/newsroom/news-release-details/parker-s-fiscal-year-2024-sustainability-report.html
2025-02-25,Parker Sporlan,Company News,"Parker Scheduled to Present at Raymond James’ 46th Annual Institutional Investors Conference on March 3, 2025 at 11:35 a.m. Eastern Time","CLEVELAND, February 24, 2025—Parker Hannifin Corporation (NYSE: PH), the global leader in motion and control technologies, today announced that it is scheduled to present at Raymond James’ 46th Annual Institutional Investors Conference on March 3, 2025 in Orlando, Florida at 11:35 a.m. Eastern time. A live webcast of the presentation will be accessible on Parker's investor information website at investors.parker.com and will be archived on the site.",https://www.parker.com/us/en/about-parker/newsroom/news-release-details/parker-scheduled-to-present-at-raymond-james-conference.html
2025-02-20,Parker Sporlan,Company News,Parker Announces Second Certified Mobile Electrification Technology Center in North America,"CLEVELAND, February 20, 2025—The Motion Systems Group of Parker Hannifin Corporation, the global leader in motion and control technologies, has launched its second certified Mobile Electrification Technology Center (METC) in North America. This new center is part of a growing global Parker network designed to accelerate the transition to low-carbon mobile equipment operations.",https://www.parker.com/us/en/about-parker/newsroom/news-release-details/parker-announces-second-certified-mtc.html
2025-02-19,Parker Sporlan,Company News,Parker Announces First Certified Mobile Electrification Technology Center in North America,"CLEVELAND, February 19, 2025—The Motion Systems Group of Parker Hannifin Corporation, the global leader in motion and control technologies, has launched its first certified Mobile Electrification Technology Center (METC) in North America. This new center is part of a growing global Parker network designed to accelerate the transition to low-carbon mobile equipment operations.",https://www.parker.com/us/en/about-parker/newsroom/news-release-details/parker-announces-first-certified-mtc.html
2025-02-14,Parker Sporlan,Company News,Parker Scheduled to Present at Citi’s 2025 Global Industrial Tech and Mobility Conference on February 20 at 11:20 a.m. Eastern Time,"CLEVELAND, February 13, 2025—Parker Hannifin Corporation (NYSE: PH), the global leader in motion and control technologies, today announced that it is scheduled to present at Citi’s 2025 Global Industrial Tech and Mobility Conference in Miami, Florida on February 20, 2025 at 11:20 a.m. Eastern time. A live webcast of the presentation will be accessible on Parker's investor information website at investors.parker.com and will be archived on the site.",https://www.parker.com/us/en/about-parker/newsroom/news-release-details/parker-scheduled-to-present-at-citi-2025-conference.html
2025-02-13,Parker Sporlan,Company News,Parker Scheduled to Present at Barclays Industrial Select Conference on February 19 at 11:00 a.m. Eastern Time,"CLEVELAND, February 12, 2025—Parker Hannifin Corporation (NYSE: PH), the global leader in motion and control technologies, today announced that it is scheduled to present at the Barclays Industrial Select Conference in Miami Beach, Florida on February 19, 2025 at 11:00 a.m. Eastern time. A live webcast of the presentation will be accessible on Parker's investor information website at investors.parker.com and will be archived on the site.",https://www.parker.com/us/en/about-parker/newsroom/news-release-details/parker-scheduled-to-present-at-barclays.html
2025-02-10,Parker Sporlan,Company News,"Parker Announces Retirement of EMEA President Joachim Guhe, Appoints Thomas Ottawa as Successor","CLEVELAND, February 10, 2025—Parker Hannifin Corporation (NYSE: PH), the global leader in motion and control technologies, today announced that Joachim Guhe, President - Europe, Middle East and Africa (EMEA) Group, will retire after 32 years of dedicated service. Mr. Guhe will step down from his current role on June 30, 2025, but continue with the company until August 31, 2025, to ensure a successful leadership transition.",https://www.parker.com/us/en/about-parker/newsroom/news-release-details/parker-announces-retirement-of-emea-president.html
2025-01-30,Parker Sporlan,Company News,Parker Reports Fiscal 2025 Second Quarter Results,"CLEVELAND, January 30, 2025—Parker Hannifin Corporation (NYSE: PH), the global leader in motion and control technologies, today reported results for the quarter ended December 31, 2024, that included the following highlights (compared with the prior year quarter):",https://www.parker.com/us/en/about-parker/newsroom/news-release-details/parker-reports-fiscal-2025-second-quarter-results.html
2025-01-24,Parker Sporlan,Company News,Parker Declares Quarterly Cash Dividend,"CLEVELAND, January 23, 2025—Parker Hannifin Corporation (NYSE: PH), the global leader in motion and control technologies, today announced that its Board of Directors has declared a regular quarterly cash dividend of $1.63 per share of common stock to shareholders of record as of February 7, 2025. The dividend is payable March 7, 2025.",https://www.parker.com/us/en/about-parker/newsroom/news-release-details/parker-declares-quarterly-cash-dividend2.html
2025-01-22,Parker Sporlan,Company News,Parker to Announce Fiscal 2025 Second Quarter Earnings on January 30; Conference Call and Webcast Scheduled for 11 a.m. Eastern,"CLEVELAND, January 21, 2025—Parker Hannifin Corporation (NYSE: PH), the global leader in motion and control technologies, today announced that it will release its fiscal 2025 second quarter earnings before the market opens on Thursday, January 30, 2025, followed by a conference call at 11:00 a.m., Eastern time. During the call, the company will discuss fiscal 2025 second quarter results and respond to questions from institutional investors and security analysts. The conference call will be webcast simultaneously on Parker's investor website at investors.parker.com with an accompanying slide presentation. The webcast will be archived on the site and available for replay later that day.",https://www.parker.com/us/en/about-parker/newsroom/news-release-details/parker-to-announce-fiscal-2025-second-quarter-earnings.html
