PublishDate,Source,Type,Title,Summary,Link
2025-09-08,Rechi,Company News,RECHI August 2025 Revenue Report,"Unable to parse summary, please visit the news page instead.",https://www.rechi.com/posts_en/301
2025-09-08,Rechi,Company News,RECHI Named One of the “Top 100 Taiwan Companies Selected by Foreign Investors 2025”,"Unable to parse summary, please visit the news page instead.",https://www.rechi.com/posts_en/299
2025-08-12,Rechi,Company News,RECHI 8/12 Board of Directors Meeting Resolutions,"Unable to parse summary, please visit the news page instead.",https://www.rechi.com/posts_en/297
2025-07-08,Rechi,Company News,RECHI June 2025 Revenue Report,"Unable to parse summary, please visit the news page instead.",https://www.rechi.com/posts_en/295
2025-06-11,Rechi,Company News,RECHI 6/11 Shareholders’Meeting Resolutions,"Unable to parse summary, please visit the news page instead.",https://www.rechi.com/posts_en/293
2025-06-09,Rechi,Company News,RECHI May 2025 Revenue Report,"Unable to parse summary, please visit the news page instead.",https://www.rechi.com/posts_en/290
2025-06-03,Rechi,Company News,Core Compressor Technology Recognized as “Internationally Advanced” — A Milestone in Rechi's Innovation Journey,"On May 26, 2025, the China Electrical Equipment Industry Association successfully hosted the Scientific and Technological Achievement Appraisal Meeting for the “Key Technologies and Applications of Small Low-Noise, High-Efficiency, and Eco-Friendly Compressors.” After a rigorous evaluation by a panel of leading experts, Rechi's core compressor technology was officially recognized as having“reached the international advanced level.”",https://www.rechi.com/posts_en/288
2025-05-08,Rechi,Company News,RECHI 5/8 Board of Directors Meeting Resolutions,"Unable to parse summary, please visit the news page instead.",https://www.rechi.com/posts_en/286
2025-05-07,Rechi,Company News,RECHI April 2025 Revenue Report,"Unable to parse summary, please visit the news page instead.",https://www.rechi.com/posts_en/281
2025-05-06,Rechi,Company News,Donating Heat Pump Water Heating System to Support Energy Upgrade at Hsinchu Ren'ai Children's Home,"Hsinchu Ren'ai Children's Home has long provided care for orphaned and underprivileged children. However, its existing water heating system was energy-intensive and posed safety risks due to gas usage, creating an urgent need for replacement. RECHI proactively initiated a donation program and partnered with a local distributor to complete the installation, easing the organization's operational burden. The newly donated system was officially installed and commissioned in April 2025, enabling the children to grow up in a safer and more secure environment.",https://www.rechi.com/posts_en/280
