PublishDate,Source,Type,Title,Summary,Link
2025-08-13,Resideo-Investor,Company News,Resideo Announces Completion of Transaction with Honeywell To Accelerate Payment of All Potential Monetary Obligations Under Indemnification and Reimbursement Agreement,"SCOTTSDALE, Ariz.,Aug. 13, 2025/PRNewswire/ -- Resideo Technologies, Inc. (NYSE: REZI), a leading global manufacturer, developer, and distributor of technology-driven sensing and controls products and solutions for residential and commercial end-markets, today announced that it has completed the previously announced transaction with Honeywell International Inc. (NASDAQ: HON) to accelerate and eliminate all future monetary obligations under the Indemnification and Reimbursement Agreement (the ""Indemnification Agreement""), which the companies entered into in 2018 in connection with Resideo's spin-off from Honeywell. Resideo's other agreements with Honeywell, including its long-term license to use the Honeywell Home brand, will remain in effect.",https://investor.resideo.com/news/news-details/2025/Resideo-Announces-Completion-of-Transaction-with-Honeywell-To-Accelerate-Payment-of-All-Potential-Monetary-Obligations-Under-Indemnification-and-Reimbursement-Agreement/default.aspx
2025-08-07,Resideo-Investor,Company News,Resideo To Participate at Upcoming Investor Conferences,"Oppenheimer 28th Annual Technology, Internet & Communications Conferenceheld virtually on Monday, August 11, 2025. Jay Geldmacher, Resideo's Chief Executive Officer, Rob Aarnes, President of Resideo's ADI Global Distribution business segment, and Thomas Surran, President of Resideo's Products & Solutions business segment, will participate in a fireside chat starting at 10:45 a.m. ET.",https://investor.resideo.com/news/news-details/2025/Resideo-To-Participate-at-Upcoming-Investor-Conferences-d94beeb07/default.aspx
2025-08-05,Resideo-Investor,Company News,Resideo Announces Record Second Quarter 2025 Financial Results; Raises 2025 Outlook; Initiates Third Quarter 2025 Outlook,"""Resideo had an exceptional second quarter, reporting record high results that were above the high-end of the range for all our key financial metrics. We are pleased to report that both the ADI and Products and Solutions segments generated organic net revenue growth, gross margin expansion, and robust Adjusted EBITDA growth,"" said Jay Geldmacher, Resideo's President and CEO.",https://investor.resideo.com/news/news-details/2025/Resideo-Announces-Record-Second-Quarter-2025-Financial-Results-Raises-2025-Outlook-Initiates-Third-Quarter-2025-Outlook/default.aspx
2025-07-30,Resideo-Investor,Company News,"Resideo Announces Intention To Separate ADI Business, Creating Two Independent Public Companies","SCOTTSDALE, Ariz.,July 30, 2025/PRNewswire/ -- Resideo Technologies, Inc. (NYSE: REZI), a leading global manufacturer, developer, and distributor of technology-driven sensing and controls products and solutions for residential and commercial end-markets, today announced its intention to separate its ADI Global Distribution business (""ADI"") through a tax-free spin-off to Resideo shareholders. Following the completion of the separation, Resideo's Products & Solutions business (""P&S"") will continue to operate as Resideo, and ADI will become an independent public company.",https://investor.resideo.com/news/news-details/2025/Resideo-Announces-Intention-To-Separate-ADI-Business-Creating-Two-Independent-Public-Companies/default.aspx
2025-07-30,Resideo-Investor,Company News,Resideo Signs Agreement To Accelerate Payment of All Potential Monetary Obligations Under Indemnification and Reimbursement Agreement with Honeywell and Eliminate All Future Payments,"SCOTTSDALE, Ariz.,July 30, 2025/PRNewswire/ -- Resideo Technologies, Inc. (NYSE: REZI), a leading global manufacturer, developer, and distributor of technology-driven sensing and controls products and solutions for residential and commercial end-markets, today announced that it has entered into a definitive agreement (the ""Agreement"") with Honeywell International Inc. (NASDAQ: HON) to accelerate and eliminate all future monetary obligations under the Indemnification and Reimbursement Agreement (the ""Indemnification Agreement"") the companies entered into in 2018 in connection with Resideo's spin-off from Honeywell. Resideo's other agreements with Honeywell, including its long-term license to use the Honeywell Home brand, will remain in effect.",https://investor.resideo.com/news/news-details/2025/Resideo-Signs-Agreement-To-Accelerate-Payment-of-All-Potential-Monetary-Obligations-Under-Indemnification-and-Reimbursement-Agreement-with-Honeywell-and-Eliminate-All-Future-Payments/default.aspx
2025-07-15,Resideo-Investor,Company News,"Resideo To Release Second Quarter 2025 Financial Results on August 5, 2025","SCOTTSDALE, Ariz.,July 15, 2025/PRNewswire/ --Resideo Technologies, Inc. (NYSE: REZI), a leading global manufacturer, developer, and distributor of technology-driven sensing and controls products and solutions for residential and commercial end-markets, will release second quarter 2025 financial results after the close of the New York Stock Exchange on Tuesday, August 5, 2025. A conference call and simultaneous webcast to discuss the results will be held on Tuesday, August 5, 2025, at 5:00 p.m. ET.",https://investor.resideo.com/news/news-details/2025/Resideo-To-Release-Second-Quarter-2025-Financial-Results-on-August-5-2025/default.aspx
2025-05-06,Resideo-Investor,Company News,Resideo Announces First Quarter 2025 Financial Results; Reaffirms 2025 Outlook,"""Resideo had a strong first quarter, reporting results at or above the high-end of the range for all of our key financial metrics. The ADI and Products and Solutions teams continued their excellent operational execution, with both segments generating organic net revenue growth, continued gross margin expansion, and healthy Adjusted EBITDA growth. We are re-affirming our 2025 outlook,"" said Jay Geldmacher, Resideo's President and CEO.",https://investor.resideo.com/news/news-details/2025/Resideo-Announces-First-Quarter-2025-Financial-Results-Reaffirms-2025-Outlook/default.aspx
2025-05-05,Resideo-Investor,Company News,Resideo To Participate at Upcoming Investor Conferences,"Resideo is a leading global manufacturer, developer, and distributor of technology-driven sensing and controls products and solutions for residential and commercial end-markets. We are a leader in the home heating, ventilation, and air conditioning controls markets, smoke and carbon monoxide detection home safety and fire suppression products markets, and security products markets. Our solutions and services can be found in over 150 million residential and commercial spaces globally, with tens of millions new devices sold annually. For more information about Resideo and our trusted, well-established brands including First Alert, Honeywell Home, BRK, Control4, and others, visitwww.resideo.com.",https://investor.resideo.com/news/news-details/2025/Resideo-To-Participate-at-Upcoming-Investor-Conferences-e8679c453/default.aspx
2025-04-15,Resideo-Investor,Company News,"Resideo to Release First Quarter 2025 Financial Results on May 6, 2025","SCOTTSDALE, Ariz.,April 15, 2025/PRNewswire/ -- Resideo Technologies, Inc. (NYSE: REZI), a leading global manufacturer, developer, and distributor of technology-driven sensing and controls products and solutions for residential and commercial end-markets, will release first quarter 2025 financial results after the close of the New York Stock Exchange on Tuesday, May 6, 2025. A conference call and simultaneous webcast to discuss the results will be held on Tuesday, May 6, 2025 at 5:00 p.m. ET.",https://investor.resideo.com/news/news-details/2025/Resideo-to-Release-First-Quarter-2025-Financial-Results-on-May-6-2025/default.aspx
2025-03-28,Resideo-Investor,Company News,First Alert and Google Nest Announce Connected Life-Safety Partnership,"SCOTTSDALE, Ariz.,March 28, 2025/PRNewswire/ --First Alert, America's most trusted fire-safety brand* owned by Resideo(NYSE: REZI), andGoogle Home, a technology leader in the smart home, today announced a new life-safety collaboration. The newFirst Alert®Smart Smoke & Carbon Monoxide (CO) Alarmis compatible with the Nest Protect Smart Smoke & CO Alarm. Existing Nest users can add a First Alert Smart Smoke & CO Alarm in the Google Home app to extend their existing coverage or replace an expiring Nest Alarm forseamless coverage.",https://investor.resideo.com/news/news-details/2025/First-Alert-and-Google-Nest-Announce-Connected-Life-Safety-Partnership/default.aspx
