PublishDate,Source,Type,Title,Summary,Link
2025-06-10,SPX,Company News,SPX Cooling Announces Capacity Expansion & CTI-Certified Dry Performance for Marley® OlympusV™ Adiabatic Fluid Coolers,"Overland Park, Kan. – SPX Cooling Tech, LLC, an industry leader in the design and manufacture of evaporative cooling towers, fluid coolers and more, is now offering Marley® OlympusV™ Adiabatic Fluid Coolers in higher capacity models, designed to provide a flexible cooling solution for more operators and engineers of commercial HVAC, industrial process and data […]",
2024-01-30,SPX,Company News,"SPX Cooling Introduces OlympusV™, a New Adiabatic Cooling Series of Products","Overland Park, Kan. – SPX Cooling Tech, LLC, a full-line, full-service industry leader in the design and manufacture of evaporative cooling towers, fluid coolers and more, has introduced OlympusV™ (pronounced o-lym-pus-vee) Adiabatic Systems, a series of adiabatic cooling products designed to provide a flexible cooling solution for operators and engineers of commercial refrigeration, industrial refrigeration, […]",
2023-10-30,SPX,Company News,"SPX Cooling Announces Opening of New Marley® Manufacturing  Facility in Springfield, Missouri","Overland Park, Kan. – SPX Cooling Tech, LLC, a full-line, full-service industry leader in the design and manufacture of evaporative cooling towers and fluid coolers, has announced the opening of a new manufacturing facility in Springfield, Missouri, that will expand the company’s capacity, while also allowing current operations to further optimize their legacy Marley® brand […]",
2023-04-04,SPX,Company News,SPX Technologies Announces Acquisition of TAMCO,Expands Position in Engineered Air Movement; Accretive to HVAC Segment Growth and Margin,
2023-03-29,SPX,Company News,"SPX Cooling Introduces Water-Saving, Optimizer System Marley® WaterGard™","Introducing the Marley® WaterGard™, a water usage optimizer and filtration system that helps reduce wastewater and overall water usage on packaged evaporative cooling products.",
2022-10-12,SPX,Company News,"SPX Cooling Introduces Sean McClenaghan as President, Global Cooling","Overland Park, Kan. – On Tuesday, Sept. 27, 2022, SPX Technologies, Inc. (“SPX Technologies”) announced the appointment of Sean McClenaghan as President, Global Cooling and an Executive Officer of SPX Technologies. As President, McClenaghan will lead the team at SPX Cooling Tech, LLC, a full-line, full-service industry leader in the design and manufacture of evaporative […]",
2022-10-11,SPX,Company News,SPX Cooling Introduces Intuitive Control Panel with Touchscreen HMI and Efficiency Operating Modes,"Overland Park, Kan. – SPX Cooling Tech, LLC, a full-line, full-service industry leader in the design and manufacture of evaporative cooling towers and air-cooled heat exchangers, has introduced the Marley® CoolBoost™ Opti FC Control Panel, a new and intuitive control system designed for Marley MH and DT fluid cooler models. CoolBoost Opti FC gives users […]",
2021-12-15,SPX,Company News,SPX Announces Acquisition of Cincinnati Fan to HVAC Global Cooling Platform,"Approximate Annual Revenue of $60-70 million;
Attractive Potential for Further Expansion in Engineered Air Quality",
2021-06-18,SPX,Company News,New Marley® MH Fluid Cooler Models Broaden Application Flexibility,"Overland Park, Kan. – SPX Cooling Technologies Inc. has released details of its expanded MH Fluid Cooler line, designed to meet an even more diverse range of applications. The MH Fluid Cooler is now available with three coil materials, each delivering its own advantages. The most recent innovation, the MH Element™ Fluid Cooler, is equipped […]",
2020-11-19,SPX,Company News,SPX Announces Appointment of Ankush Kumar as Executive Officer and Leader of Global Cooling Businesses,"CHARLOTTE, N.C., Oct. 29, 2020 (GLOBE NEWSWIRE) — SPX Corporation (NYSE:SPXC) today announced that Ankush Kumar, who joined the company in 2018 as President of the company’s HVAC Cooling business, has been appointed as an Executive Officer of the company. Mr. Kumar will also now assume leadership for SPX’s Process Cooling organization, giving him responsibility for all Cooling operations globally. “Ankush is […]",
