PublishDate,Source,Title,Summary,Link
2025-08-12,TRANE,Trane Technologies Launches BrainBox AI Lab to Transform Energy Management and Sustainability in Buildings,"SWORDS, Ireland--(BUSINESS WIRE)-- Trane Technologies (NYSE:TT), a global climate innovator, today announced the launch of the BrainBox AI Lab – igniting a new era in energy optimization for heating, ventilation, and air conditioning (HVAC) solutions in the built environment and refrigerated transport.",https://investors.tranetechnologies.com/news-and-events/news-releases/news-release-details/2025/Trane-Technologies-Launches-BrainBox-AI-Lab-to-Transform-Energy-Management-and-Sustainability-in-Buildings/default.aspx
2025-07-30,TRANE,Trane Technologies Reports Strong Second Quarter Results; Raises Full-Year Revenue and EPS Guidance,"SWORDS, Ireland--(BUSINESS WIRE)-- Trane Technologies plc (NYSE:TT), a global climate innovator, today reported diluted earnings per share (EPS) from continuing operations of $3.87 for the second quarter of 2025. Adjusted continuing EPS was $3.88, up 18 percent.",https://investors.tranetechnologies.com/news-and-events/news-releases/news-release-details/2025/Trane-Technologies-Reports-Strong-Second-Quarter-Results-Raises-Full-Year-Revenue-and-EPS-Guidance/default.aspx
2025-07-09,TRANE,Trane Technologies Recognized as a Leading Employer in the U.S. and India by Great Place to Work®,NO SUMMARY - LINK LEADS TO A DIFFERENT SITE; Visit the site for more information.,https://www.3blmedia.com/news/trane-technologies-recognized-leading-employer-us-and-india-great-place-workr
2025-07-09,TRANE,Trane Technologies Schedules Second Quarter 2025 Earnings Conference Call,"SWORDS, Ireland--(BUSINESS WIRE)-- Trane Technologies plc (NYSE:TT), a global climate innovator, will host a conference call to discuss its second quarter 2025 financial results on Wednesday, July 30, 2025, at 10 a.m. ET. The company will issue its second quarter earnings release and earnings presentation in advance of the call; both will be available on the Trane Technologies website.",https://investors.tranetechnologies.com/news-and-events/news-releases/news-release-details/2025/Trane-Technologies-Schedules-Second-Quarter-2025-Earnings-Conference-Call/default.aspx
2025-06-24,TRANE,Trane Technologies Recognized by TIME as One of the World’s Most Sustainable Companies,"SWORDS, Ireland--(BUSINESS WIRE)-- Trane Technologies (NYSE:TT), a global climate innovator, has been recognized in TIME’s list of the World’s Most Sustainable Companies, ranking 20th. The list, now in its second year and published in collaboration with market research company Statista, highlights the top 500 companies that embed sustainability into their core strategies.",https://investors.tranetechnologies.com/news-and-events/news-releases/news-release-details/2025/Trane-Technologies-Recognized-by-TIME-as-One-of-the-Worlds-Most-Sustainable-Companies/default.aspx
2025-06-18,TRANE,Trane Technologies’ Cal Krause Named to Trellis 30 Under 30 List,NO SUMMARY - LINK LEADS TO A DIFFERENT SITE; Visit the site for more information.,https://www.3blmedia.com/news/trane-technologies-cal-krause-named-trellis-30-under-30-list
2025-06-05,TRANE,Trane Technologies Declares Quarterly Dividend,"SWORDS, Ireland--(BUSINESS WIRE)-- The Board of Directors of Trane Technologies plc (NYSE:TT), a global climate innovator, declared a quarterly dividend of $0.94 per ordinary share, or $3.76 per share annualized. The dividend is payable on September 30, 2025, to shareholders of record as of September 5, 2025.",https://investors.tranetechnologies.com/news-and-events/news-releases/news-release-details/2025/Trane-Technologies-Declares-Quarterly-Dividend-4b2b072e1/default.aspx
2025-06-04,TRANE,Trane Technologies Honored for Outstanding Corporate Citizenship with Inclusion on The Civic 50,"SWORDS, Ireland--(BUSINESS WIRE)-- Trane Technologies (NYSE:TT), a global climate innovator, has been recognized as one of the most community-minded companies in the United States by being included on The Civic 50. For over a decade, this prestigious list, curated by Points of Light, has set the standard for corporate citizenship, highlighting how top companies integrate social impact and community engagement into the core of their business operations.",https://investors.tranetechnologies.com/news-and-events/news-releases/news-release-details/2025/Trane-Technologies-Honored-for-Outstanding-Corporate-Citizenship-with-Inclusion-on-The-Civic-50/default.aspx
2025-05-29,TRANE,Trane Technologies Delivers Leading Business and Sustainability Performance by Reducing Customers’ Energy Use and Carbon Emissions,"SWORDS, Ireland--(BUSINESS WIRE)-- Trane Technologies (NYSE: TT), a global climate innovator, is continuing to set the pace for decarbonizing buildings, industry and the cold chain by reducing energy use and carbon emissions for customers and in its own operations – while consistently delivering leading business and sustainability performance.",https://investors.tranetechnologies.com/news-and-events/news-releases/news-release-details/2025/Trane-Technologies-Delivers-Leading-Business-and-Sustainability-Performance-by-Reducing-Customers-Energy-Use-and-Carbon-Emissions/default.aspx
2025-05-07,TRANE,Trane Technologies to Present at the Wolfe Research Global Transportation and Industrials Conference,"SWORDS, Ireland--(BUSINESS WIRE)-- Trane Technologies plc (NYSE: TT) a global climate innovator, today announced that company leadership will participate in a fireside chat at the Wolfe Research Global Transportation and Industrials Conference. They will speak at 9:45 a.m. ET on Wednesday, May 21, 2025.",https://investors.tranetechnologies.com/news-and-events/news-releases/news-release-details/2025/Trane-Technologies-to-Present-at-the-Wolfe-Research-Global-Transportation-and-Industrials-Conference/default.aspx
