PublishDate,Source,Type,Title,Summary,Link
2025-09-11,Watsco,Company News,"Watsco to Present at the 13th Annual Morgan Stanley Laguna Conference on September 11, 2025 at 4:50 p.m. PDT","MIAMI, Sept.  11, 2025  (GLOBE NEWSWIRE) -- Watsco, Inc. (NYSE: WSO) announced today that Barry S. Logan, Executive Vice President, is scheduled to present at the 13th Annual Morgan Stanley Laguna Conference being held at the Ritz Carlton, Laguna Niguel on Thursday, September 11, 2025 at 4:50 p.m. (PDT). Internet users can listen to a live webcast of the presentation at the Investor Relations section of Watsco’s website at http://www.watsco.com.",https://investors.watsco.com/news-releases/news-release-details/watsco-present-13th-annual-morgan-stanley-laguna-conference
2025-07-30,Watsco,Company News,Watsco Reports Second Quarter 2025 Results and Provides Update on Innovation & Strategic Technology Initiatives,"MIAMI, July  30, 2025  (GLOBE NEWSWIRE) --  Watsco, Inc. (NYSE: WSO) announced its operating results for the second quarter and six-month period ended June 30, 2025. The Company also provided updates related to innovation and technology, growth opportunities and overall business trends.",https://investors.watsco.com/news-releases/news-release-details/watsco-reports-second-quarter-2025-results-and-provides-update
2025-07-18,Watsco,Company News,"Watsco Schedules Second Quarter Earnings Call on July 30, 2025","MIAMI, July  18, 2025  (GLOBE NEWSWIRE) -- Watsco, Inc. (NYSE: WSO) announced today that it will host its second quarter 2025 conference call on Wednesday, July 30, 2025 at 10:00 a.m. (EDT). Prepared remarks regarding the results will be followed by a question-and-answer session with the senior management team.",https://investors.watsco.com/news-releases/news-release-details/watsco-schedules-second-quarter-earnings-call-july-30-2025
2025-07-01,Watsco,Company News,Watsco Declares $3.00 Quarterly Dividend,"MIAMI, July  01, 2025  (GLOBE NEWSWIRE) -- Watsco, Inc.’s (NYSE: WSO) Board of Directors has declared a regular quarterly cash dividend of $3.00 on each outstanding share of its Common and Class B common stock payable on July 31, 2025 to shareholders of record at the close of business on July 16, 2025.",https://investors.watsco.com/news-releases/news-release-details/watsco-declares-300-quarterly-dividend
2025-05-05,Watsco,Company News,Watsco Acquires Southern Ice Equipment Distributors,"MIAMI, May  05, 2025  (GLOBE NEWSWIRE) -- Watsco, Inc. (NYSE: WSO) announced that it has completed the acquisition of Southern Ice Equipment Distributors as well as two other transactions completed thus far in 2025. Terms of the transactions were not disclosed.",https://investors.watsco.com/news-releases/news-release-details/watsco-acquires-southern-ice-equipment-distributors
2025-04-23,Watsco,Company News,"Watsco’s First Quarter Reflects Large-Scale Product Transition, Strong Sales Growth and Expanded Margins in Core Replacement Market","MIAMI, April  23, 2025  (GLOBE NEWSWIRE) -- Watsco, Inc. (NYSE: WSO) announced its operating results for the first quarter ended March 31, 2025 and provided commentary on growth opportunities, business trends, its financial position and long-term growth drivers.",https://investors.watsco.com/news-releases/news-release-details/watscos-first-quarter-reflects-large-scale-product-transition
2025-04-09,Watsco,Company News,"Watsco Schedules First Quarter Conference Call On Wednesday, April 23, 2025","MIAMI, April  09, 2025  (GLOBE NEWSWIRE) -- Watsco, Inc. (NYSE: WSO) announced today that it has scheduled a conference call to discuss its 2025 first quarter results on Wednesday, April 23, 2025 at 10:00 a.m. (EDT). Prepared remarks regarding the results will be followed by a question-and-answer session with the senior management team.",https://investors.watsco.com/news-releases/news-release-details/watsco-schedules-first-quarter-conference-call-wednesday-april
2025-04-01,Watsco,Company News,"Watsco Declares $3.00 Quarterly Dividend, Reflects 11% Increase to an Annual Rate of $12.00 Per Share","MIAMI, April  01, 2025  (GLOBE NEWSWIRE) -- Watsco, Inc.’s (NYSE: WSO) Board of Directors has declared a regular quarterly cash dividend of $3.00 on each outstanding share of its Common and Class B common stock payable on April 30, 2025 to shareholders of record at the close of business on April 15, 2025. This marks an 11% increase to an annual rate of $12.00 per share.",https://investors.watsco.com/news-releases/news-release-details/watsco-declares-300-quarterly-dividend-reflects-11-increase
2025-03-11,Watsco,Company News,"Watsco to Participate in the J.P. Morgan 2025 Industrials Conference on March 12, 2025 at 8:15 a.m.","Watsco is the largest distributor of heating, air conditioning and refrigeration (HVAC/R) products with locations in the United States, Canada, Mexico, and Puerto Rico, and on an export basis to Latin America and the Caribbean.",https://investors.watsco.com/news-releases/news-release-details/watsco-participate-jp-morgan-2025-industrials-conference-march
2025-02-18,Watsco,Company News,"Watsco Reports Record Fourth Quarter Sales,  Expanded Margins and Record Cash Flow","MIAMI, Feb.  18, 2025  (GLOBE NEWSWIRE) -- Watsco, Inc. (NYSE: WSO) reported fourth quarter and full year 2024 results and provided commentary on current business trends, technology innovation and long-term growth drivers.",https://investors.watsco.com/news-releases/news-release-details/watsco-reports-record-fourth-quarter-sales-expanded-margins-and
